iter	PRAUC	Logloss
132	0.8565757118	0.4468170496
133	0.8566335878	0.4467575951
134	0.8566335878	0.4467575743
135	0.8567554908	0.4465107475
136	0.8568085619	0.4464715721
137	0.8569484017	0.4462547537
138	0.8571027052	0.4458912213
139	0.8571641895	0.4456778673
140	0.8572984374	0.4455198541
141	0.8574742958	0.4453035409
142	0.8575818667	0.4451284085
143	0.8576429286	0.4449529037
144	0.8577606644	0.4445622027
145	0.8579537453	0.4442508791
146	0.8579566653	0.4441482804
147	0.8579961818	0.4441146894
148	0.8581204061	0.4439416966
149	0.8582547256	0.4436221121
150	0.8583868906	0.443198326
151	0.8584750732	0.4430203291
152	0.8584627871	0.4429299686
153	0.8588131507	0.4425395711
154	0.8588816435	0.4423623881
155	0.859056816	0.4420550774
156	0.8594850395	0.4415175875
157	0.8596456915	0.4412711423
158	0.859702588	0.4409481035
159	0.8598092087	0.4408271171
160	0.8598432352	0.4407392277
161	0.8598535437	0.4407276115
162	0.8598623674	0.4406664524
163	0.8600572194	0.4404601442
164	0.8601420193	0.440300653
165	0.8601848376	0.4402705028
166	0.8603593255	0.4397938997
167	0.8606286719	0.4395568976
168	0.860617991	0.4395249259
169	0.8606042612	0.4395190851
170	0.8606508756	0.4393782928
171	0.8608056817	0.4392048184
172	0.8609816452	0.439016709
173	0.8611471119	0.4385481821
174	0.8612582857	0.4383067445
175	0.861360446	0.4381393144
176	0.8615206111	0.4378776036
177	0.8617140263	0.4376366134
178	0.861883601	0.4372862252
179	0.8621134391	0.4369399627
180	0.8622931697	0.4366594617
181	0.8624686065	0.4363964144
182	0.8625698891	0.4359920218
183	0.8625835184	0.4359359461
184	0.862626774	0.4358237815
185	0.8626906598	0.4357533046
186	0.862746705	0.4356885686
187	0.8631785254	0.4352326626
188	0.8632117418	0.4350138999
189	0.8634816603	0.4346303623
190	0.8637228926	0.4339868954
191	0.8637541655	0.4339314897
192	0.8639627271	0.433739368
193	0.8641840954	0.4333193345
194	0.8642297403	0.4332545048
195	0.8642774049	0.4331581302
196	0.8643855343	0.4329807157
197	0.8645849117	0.4326392309
198	0.8648198664	0.4321308038
199	0.8649423575	0.4319075172
200	0.8650073288	0.4317525521
201	0.8651469999	0.4314136952
202	0.8654085693	0.431163304
203	0.8655456925	0.4307861267
204	0.8657252882	0.4302192501
205	0.8661948296	0.4297351416
206	0.8662511619	0.4296885812
207	0.8664402574	0.4295111768
208	0.8666639129	0.4293111135
209	0.8667988018	0.4289473577
210	0.8668755035	0.4287264367
211	0.8669594528	0.4285598341
212	0.8670740457	0.4281713294
213	0.8671852342	0.4279269391
214	0.8673905027	0.4277015955
215	0.867798617	0.4271693437
216	0.8678854975	0.4269330478
217	0.8679787918	0.4267393231
218	0.8684396672	0.4262479443
219	0.868625319	0.4258854263
220	0.8686697901	0.4257577464
221	0.8688222339	0.4254222748
222	0.8689176879	0.4250106209
223	0.8689753019	0.4248160526
224	0.8692670883	0.4245051796
225	0.8697123322	0.4239500105
226	0.8699728517	0.4236609476
227	0.8701143342	0.4233263449
228	0.870209333	0.4232606859
229	0.870579274	0.4228251669
230	0.8709603415	0.4223823743
231	0.8710691978	0.4221183797
232	0.8714804014	0.4216599984
233	0.8716348733	0.4213298359
234	0.8717142351	0.4211248248
235	0.8717714814	0.4209913253
236	0.8718757395	0.4208712435
237	0.8719510645	0.4205870506
238	0.8720056335	0.420477284
239	0.8721965551	0.4202800839
240	0.8722487363	0.4202154991
241	0.8723080746	0.4201464611
242	0.8724686983	0.4198290632
243	0.8727517758	0.4195749692
244	0.8728912321	0.419417142
245	0.8730394916	0.418945275
246	0.8732609844	0.4184670429
247	0.8733486516	0.41817721
248	0.8733803058	0.4180595653
249	0.8734258259	0.4179603075
250	0.8738620394	0.4173386426
251	0.8742009438	0.4167401351
252	0.8744121082	0.4164796235
253	0.8744469632	0.4164403344
254	0.8745723662	0.4161163245
255	0.8746260217	0.4158961959
256	0.8748885254	0.4154743056
257	0.8749923066	0.41522488
258	0.8750538853	0.4151687449
259	0.8753811414	0.4148096471
260	0.8757104702	0.4143340478
261	0.8758240027	0.4138794352
262	0.8760933291	0.413514327
263	0.8761793792	0.4132496924
264	0.8765315617	0.4129828465
265	0.8766829113	0.41279098
266	0.8768147866	0.4125558163
267	0.8772095596	0.4119811637
268	0.8773074412	0.4117671993
269	0.8773798128	0.411656759
270	0.8774475334	0.4114349739
271	0.8775248289	0.4113593626
272	0.8776780591	0.4109518406
273	0.8777471336	0.4107332532
274	0.8778476592	0.4104862192
275	0.8780514788	0.4102266168
276	0.8783835949	0.4097853987
277	0.8784584092	0.409665505
278	0.8785631499	0.4092533787
279	0.8787692665	0.4090422042
280	0.8788359251	0.4089934166
281	0.8788744879	0.4089504514
282	0.8789770184	0.4086452419
283	0.8790167587	0.4086067253
284	0.8790800948	0.4085162267
285	0.8791971302	0.4082183226
286	0.8795045418	0.4079269752
287	0.8796300742	0.4077463859
288	0.8798051379	0.4072952399
289	0.8798996667	0.4070331895
290	0.8800898516	0.4067919049
291	0.8801662576	0.4064416045
292	0.8805192154	0.406024068
293	0.8806354597	0.4058140991
294	0.8810637962	0.4055504865
295	0.8811286738	0.405286698
296	0.8811498863	0.4052295996
297	0.8812226632	0.4050724973
298	0.8814933497	0.4047021286
299	0.8817456383	0.4044151922
300	0.8817982433	0.4043576553
301	0.882062833	0.4041516818
302	0.8821975208	0.4037957584
303	0.8824311762	0.4034660057
304	0.8825006093	0.4033861176
305	0.8825826824	0.4030783738
306	0.8827550759	0.4028580622
307	0.8829293534	0.4025680429
308	0.8830324363	0.402372539
309	0.8832779017	0.401945725
310	0.8833317305	0.4017873258
311	0.8834216958	0.4014967893
312	0.8835124612	0.4013881802
313	0.8836688227	0.4012165826
314	0.8837095546	0.4010210621
315	0.8837625287	0.4009473295
316	0.8839550583	0.4004709109
317	0.8841404127	0.4002799473
318	0.8843441827	0.4000683504
319	0.8844816688	0.3998887363
320	0.8848616453	0.3994327806
321	0.8853611012	0.3988780914
322	0.8854263233	0.3988043792
323	0.885503236	0.3986138339
324	0.88570993	0.3983112614
325	0.885735389	0.3982835829
326	0.885776564	0.3982272616
327	0.8861120507	0.397788171
328	0.8864556536	0.3973888812
329	0.8867810092	0.397034031
330	0.8870476407	0.3966855268
331	0.8871489298	0.3962110546
332	0.8872828028	0.3959710637
333	0.8873970937	0.395854558
334	0.8877137725	0.3955905386
335	0.8877669494	0.3954044285
336	0.8879768741	0.395173447
337	0.8881178791	0.3949017099
338	0.8881628867	0.3947161266
339	0.8883654443	0.3945324667
340	0.8885245659	0.3942484287
341	0.8886885854	0.3939882839
342	0.8888091524	0.3935968697
343	0.8888285002	0.3935763545
344	0.8888989908	0.393403423
345	0.8889269528	0.3932568166
346	0.8890668208	0.3930855679
347	0.8892035138	0.3928563851
348	0.8893486843	0.3925172967
349	0.8893907002	0.3923811088
350	0.8897008666	0.3918874516
351	0.8897659119	0.3916847739
352	0.8898972706	0.3914006458
353	0.8900619643	0.3911388459
354	0.8901369498	0.3909142749
355	0.8905980011	0.3904345971
356	0.8907522444	0.3902890607
357	0.8909344886	0.3899818435
358	0.8910457324	0.3898195545
359	0.8913015703	0.3893101715
360	0.8919376942	0.3887185894
361	0.8921226718	0.3884299833
362	0.8923988509	0.3881292457
363	0.8925310349	0.3879097052
364	0.8927613171	0.3875421076
365	0.8930216085	0.3871441043
366	0.8931718068	0.3868010673
367	0.893231098	0.3866612727
368	0.8933629933	0.3864200893
369	0.8936126849	0.3859769779
370	0.8937564803	0.3857524658
371	0.8941275143	0.3852944788
372	0.8942121057	0.385136275
373	0.8942977898	0.3848664482
374	0.8943642224	0.3846015171
375	0.8945261417	0.3842341181
376	0.8947084312	0.3838886635
377	0.8946988468	0.3838676559
378	0.8947940191	0.3836522395
379	0.8953095045	0.3831662218
380	0.8954087996	0.3829613446
381	0.8956824541	0.3825196085
382	0.8957710861	0.3824185077
383	0.8959362874	0.3821066715
384	0.8960930123	0.381942322
385	0.8962638951	0.3815390875
386	0.8963957546	0.3814122427
387	0.8965719456	0.3810923063
